date,regime_up,regime_distance_pct,index,btc_jpy,n_positions,held,targets,nav,book_ret_pct
2026-07-21,,,,10849999,0,,,100.0,0.0
2026-07-22,,,,10780566,3,BTC/JPY|DOGE/JPY|LTC/JPY,,100.0,0.0
2026-07-23,,,,10668939,6,BTC/JPY|ETH/JPY|DOGE/JPY|DOT/JPY|SOL/JPY|AVAX/JPY,,98.1626,-1.837
2026-07-24,,,,10523230,6,BTC/JPY|ETH/JPY|DOGE/JPY|ATOM/JPY|DOT/JPY|SOL/JPY,,97.499,-0.676
2026-07-25,,,,10553891,4,BTC/JPY|ATOM/JPY|DOT/JPY|SOL/JPY,,98.3052,0.827
2026-07-26,,,,10692248,2,ATOM/JPY|DOT/JPY,,99.9643,1.688
2026-07-27,,,,10451135,4,DOGE/JPY|ATOM/JPY|DOT/JPY|AVAX/JPY,,92.3541,-7.613
2026-07-28,,,,10467907,7,BTC/JPY|ETH/JPY|DOGE/JPY|LTC/JPY|ATOM/JPY|SOL/JPY|AVAX/JPY,,93.0996,0.807
2026-07-29,,,,10439827,0,,,92.1343,-1.037
2026-07-30,,,,10376488,0,,,92.1343,0.0
2026-07-31,,,,9918187,0,,,92.1343,0.0
2026-08-01,,,,9897393,0,,,92.1343,0.0
2026-08-02,,,,10005352,0,,,92.1343,0.0
2026-08-03,,,,10002960,0,,,92.1343,0.0
2026-08-04,,,,10113328,0,,,92.1343,0.0
2026-08-05,,,,10191667,0,,,92.1343,0.0
2026-08-06,,,,10183723,0,,,92.1343,0.0
2026-08-07,,,,10248015,0,,,92.1343,0.0
2026-08-08,,,,10250676,0,,,92.1343,0.0
2026-08-09,,,,10246600,0,,,92.1343,0.0
2026-08-10,,,,10191324,0,,,92.1343,0.0
2026-08-11,,,,10131106,0,,,92.1343,0.0
2026-08-12,,,,10112502,0,,,92.1343,0.0
2026-08-13,,,,10119906,0,,,92.1343,0.0
2026-08-14,,,,10044907,0,,,92.1343,0.0
2026-08-15,,,,10055875,0,,,92.1343,0.0
2026-08-16,,,,10014831,0,,,92.1343,0.0
2026-08-17,,,,10278279,0,,,92.1343,0.0
2026-08-18,,,,10330037,0,,,92.1343,0.0
2026-08-19,,,,10949999,0,,,92.1343,0.0
2026-08-20,,,,11605866,1,ETH/JPY,,92.1343,0.0
2026-08-21,,,,12445660,4,ETH/JPY|SOL/JPY|BNB/JPY|XLM/JPY,,99.596,8.099
2026-08-22,,,,12231617,4,ETH/JPY|SOL/JPY|BNB/JPY|XLM/JPY,,98.1484,-1.453
